,0,1
0,said,1755
1,game,971
2,points,942
3,first,896
4,one,777
5,season,721
6,team,717
7,last,680
8,new,618
9,would,585
10,two,573
11,year,510
12,like,508
13,games,495
14,also,482
15,league,480
16,players,478
17,time,477
18,coach,442
19,three,433
20,byby,432
21,final,429
22,play,418
23,second,413
24,state,410
25,years,405
26,get,400
27,win,399
28,back,385
29,scored,374
30,made,362
31,teams,361
32,player,354
33,could,348
34,going,345
35,four,338
36,football,330
37,left,311
38,nba,308
39,played,298
40,even,296
41,city,296
42,world,287
43,since,282
44,people,277
45,point,276
46,best,271
47,big,269
48,got,266
49,make,263
50,way,254
51,basketball,253
52,half,248
53,think,246
54,former,245
55,home,242
56,good,240
57,rebounds,239
58,next,236
59,shot,235
60,five,234
61,lead,234
62,night,233
63,day,232
64,led,231
65,added,229
66,great,229
67,right,224
68,much,224
69,still,222
70,never,218
71,told,213
72,top,213
73,well,212
74,end,209
75,want,209
76,national,209
77,know,208
78,went,207
79,really,204
80,associated,204
81,many,202
82,minutes,200
83,ball,197
84,including,195
85,title,194
86,soccer,193
87,dont,193
88,fans,190
89,playing,190
90,guard,189
91,took,189
92,came,187
93,another,187
94,college,186
95,didnt,183
96,career,183
97,take,182
98,lost,182
99,thats,181
100,hes,181
101,tournament,181
102,million,180
103,victory,180
104,school,178
105,playoff,178
106,conference,176
107,forward,176
108,every,174
109,put,172
110,sports,172
111,lot,172
112,part,171
113,los,171
114,nfl,170
115,eight,170
116,president,170
117,york,169
118,week,167
119,cup,167
120,ncaa,166
121,come,166
122,six,164
123,free,163
124,early,162
125,long,161
126,level,161
127,away,156
128,high,156
129,see,156
130,series,155
131,times,155
132,third,155
133,seasons,155
134,michigan,155
135,angeles,154
136,record,152
137,missed,152
138,work,152
139,san,152
140,straight,151
141,finished,149
142,goal,149
143,run,149
144,championship,148
145,red,148
146,champions,147
147,seven,147
148,winning,146
149,little,145
150,united,145
151,club,144
152,things,144
153,say,143
154,late,142
155,young,142
156,around,140
157,may,140
158,saturday,140
159,deal,140
160,without,139
161,assists,139
162,always,139
163,something,139
164,shots,138
165,texas,138
166,though,136
167,later,136
168,set,135
169,better,134
170,lakers,134
171,place,133
172,court,133
173,seconds,132
174,virginia,131
175,head,130
176,field,129
177,past,129
178,tuesday,128
179,fourth,127
180,draft,127
181,sunday,127
182,might,127
183,editing,124
184,warriors,124
185,life,124
186,guy,124
187,beat,123
188,monday,123
189,start,122
190,need,122
191,center,122
192,states,122
193,loss,122
194,called,120
195,seed,120
196,family,119
197,quarter,119
198,round,119
199,making,117
200,days,117
201,history,116
202,following,116
203,england,115
204,hard,114
205,playoffs,114
206,james,114
207,hit,112
208,announced,112
209,open,112
210,guys,112
211,reporting,111
212,help,111
