,0,1
0,soccer,16566
1,baseball,13786
2,wrestling,10611
3,softball,6266
4,football,5818
5,amp,5658
6,wwe,4626
7,game,4203
8,mlb,4040
9,wrestlemania,3784
10,team,3608
11,new,3582
12,sports,3577
13,today,3099
14,great,2739
15,get,2729
16,day,2703
17,one,2613
18,win,2521
19,time,2347
20,match,2212
21,first,2150
22,live,2096
23,tonight,2047
24,join,2019
25,love,1964
26,looking,1909
27,like,1865
28,season,1816
29,check,1715
30,come,1653
31,april,1632
32,back,1593
33,fans,1591
34,weekend,1576
35,week,1559
36,follow,1524
37,play,1512
38,league,1509
39,home,1487
40,show,1469
41,best,1464
42,see,1449
43,night,1442
44,last,1436
45,work,1416
46,know,1358
47,watch,1349
48,passion,1280
49,good,1280
50,paid,1243
51,study,1235
52,teamplayer,1212
53,thank,1197
54,got,1189
55,womens,1187
56,player,1177
57,prowrestling,1165
58,dont,1135
59,world,1131
60,episode,1122
61,raw,1118
62,podcast,1116
63,fun,1104
64,players,1104
65,lets,1104
66,redsox,1080
67,ball,1062
68,giveaway,1053
69,auctionseast,1053
70,post,1029
71,practice,1001
72,run,995
73,games,992
74,two,988
75,coach,979
76,make,978
77,fan,978
78,sport,955
79,boston,954
80,right,946
81,city,901
82,happy,889
83,big,888
84,coming,884
85,via,882
86,youtube,877
87,news,871
88,free,870
89,away,858
90,put,853
91,girls,852
92,saturday,841
93,field,839
94,take,837
95,ready,836
96,champion,825
97,man,822
98,still,816
99,next,807
100,boys,804
101,arsenal,798
102,year,798
103,video,795
104,link,768
105,perfect,765
106,going,761
107,training,745
108,teams,744
109,openingday,742
110,available,728
111,top,724
112,start,721
113,playing,720
114,goal,718
115,people,718
116,international,715
117,way,715
118,futbol,713
119,want,704
120,high,700
121,school,693
122,signed,691
123,well,680
124,tomorrow,678
125,always,674
126,another,671
127,qualify,670
128,enjoy,669
129,championsleague,669
130,look,667
131,friends,667
132,ringofhonor,666
133,everyone,665
134,todays,665
135,final,661
136,nxt,656
137,championship,652
138,imagine,650
139,extra,646
140,katzdzynes,646
141,steve,643
142,united,643
143,cant,633
144,made,628
145,would,626
146,spring,625
147,mls,625
148,tickets,624
149,wsuasa,624
150,stadium,621
151,amazing,620
152,reds,615
153,yankees,613
154,latest,611
155,every,605
156,getting,604
157,manchester,602
158,mins,601
159,support,598
160,may,596
161,awesome,596
162,womensfootball,594
163,liverpool,593
164,action,591
165,sunday,588
166,life,581
167,kids,581
168,hit,580
169,help,578
170,many,577
171,park,577
172,topps,575
173,roh,575
174,expect,573
175,softballtroubl,572
176,friendly,568
177,think,568
178,besides,564
179,years,562
180,balls,561
181,full,561
182,better,555
183,fifa,554
184,barely,553
185,ever,549
186,history,547
187,coachdavidklein,545
188,little,545
189,event,545
190,cup,544
191,cag,543
192,need,540
193,white,538
194,mma,536
195,never,535
196,birthday,532
197,thanks,529
198,celebrity,525
199,gsupercard,524
200,stream,523
201,ive,521
202,cwecanada,520
203,chelsea,519
204,talk,515
205,sale,513
206,score,510
207,miss,505
208,break,504
209,proud,503
210,watching,497
211,footballresults,496
212,much,496
213,special,494
214,shirt,492
215,barcelona,491
216,excited,487
217,opening,485
218,goals,482
219,basketball,480
220,champions,479
221,friday,478
222,making,474
223,cubs,470
224,red,466
225,tag,466
226,monday,465
227,tournament,465
228,premierleague,464
229,review,463
230,days,461
231,wrestler,459
232,guys,456
233,congratulations,455
234,youth,455
235,bet,452
236,wsulive,450
237,los,449
238,njpw,448
239,kick,446
240,college,445
241,half,445
242,heres,444
243,pro,443
244,winning,443
245,part,443
246,favorite,442
247,says,442
248,giving,442
249,httpst,441
250,academy,435
251,fitness,432
252,preview,432
253,credit,429
254,club,428
255,please,427
256,hotshotdannyd,424
257,hard,423
258,call,422
259,braves,419
260,uefa,419
261,matches,418
262,yasielpuig,418
263,lady,416
264,family,414
265,find,414
266,online,413
267,phillies,410
268,head,410
269,without,408
270,summer,407
271,pattern,401
272,realkellyklein,400
273,series,399
274,give,396
275,minute,396
276,beautiful,395
277,code,395
278,angeles,394
279,yes,393
280,sure,393
281,let,392
282,keep,392
283,also,391
284,old,391
285,congrats,391
286,open,391
287,really,390
288,hey,390
289,manager,388
290,betting,387
291,number,384
292,chyna,384
293,https,383
294,youre,382
295,running,381
296,minutes,377
297,played,374
298,say,370
299,travel,370
300,photo,370
301,able,369
302,pitch,367
303,walk,361
304,chicago,360
305,wwehof,360
306,future,359
307,weeks,357
308,sign,357
309,morning,355
310,national,355
311,left,355
312,long,354
313,health,352
314,title,350
315,dodgers,350
316,could,350
317,west,349
318,cat,349
319,around,348
320,job,347
321,ring,347
322,york,347
323,story,342
324,wrestlingcommunity,341
325,error,341
326,set,340
327,nxttakeover,339
328,honor,338
329,real,337
330,plays,337
331,state,336
332,premier,336
333,soon,335
334,breakdown,334
335,spos,334
336,varsity,334
337,pitcher,334
338,skills,333
339,japan,333
340,takes,332
341,even,330
342,star,330
343,blue,329
344,ufc,329
345,visit,328
346,england,328
347,aew,327
348,channel,325
349,stop,324
350,hes,324
351,official,321
352,jersey,320
353,biggest,320
354,taking,320
355,starting,320
356,wwf,319
357,ucl,318
358,retweet,318
359,thats,316
360,banks,315
361,impact,315
362,beat,314
363,httpstco,314
364,jorge,313
365,debut,313
366,robinblackmma,313
367,puigstillyourfriend,312
368,httpstcofbipomn,312
369,psa,311
370,tottenham,311
371,catch,310
372,wrestlers,310
373,working,309
374,case,309
375,early,308
376,sdlive,308
377,hostilities,307
378,catsvidal,307
379,starts,305
380,camp,305
381,card,304
382,whatsapp,303
383,drill,303
384,coaches,302
385,rockies,301
386,fight,301
387,jackie,299
388,professional,298
389,wait,298
390,throw,298
391,nyc,297
392,wins,295
393,second,295
394,pink,294
395,coaching,294
396,design,293
397,past,292
398,things,290
399,winner,290
400,victory,289
401,athlete,289
402,fired,289
403,read,288
404,ernie,284
405,americanfootball,283
406,announced,283
407,hope,282
408,line,281
409,hitting,281
410,size,280
411,mancity,280
412,american,280
413,vintagebreaks,280
414,meet,278
415,bat,278
416,custom,277
417,yesterday,277
418,sox,276
419,end,276
420,nba,274
421,picture,274
422,photos,274
423,zazzle,274
424,use,274
425,started,273
426,triple,273
427,wouldnt,272
428,try,272
429,gtgtgt,271
430,control,271
431,click,271
432,bettingtips,271
433,exercise,271
434,three,271
435,hall,271
436,places,269
437,forward,268
438,book,267
439,weve,267
440,nfl,267
441,bjj,266
442,young,266
443,far,266
444,mets,266
445,something,266
446,finally,265
447,bottom,265
448,hits,264
449,double,264
450,luck,264
451,major,262
452,welcome,261
453,passing,261
454,opener,260
455,name,260
456,black,259
457,highlights,259
458,trump,258
459,local,257
460,june,257
461,community,257
462,together,256
463,learn,256
464,nike,256
465,robinson,256
466,performance,255
467,former,254
468,ajax,254
469,makes,252
470,round,252
471,success,252
472,happening,251
473,ebay,251
474,kit,251
475,usa,250
476,softballplayer,250
477,picks,248
478,logo,248
479,predictions,247
480,true,247
481,thebarnburns,247
482,gets,246
483,nice,246
484,ago,245
485,legend,244
486,whos,244
487,softballdreams,244
488,return,243
489,share,243
490,smackdown,243
491,draw,243
492,france,243
493,huge,243
494,juventus,243
495,contact,242
496,chance,242
497,gameday,241
498,messi,240
499,drawing,240
500,chris,240
501,talking,240
502,bring,239
503,twitch,239
504,inning,239
505,discuss,239
506,golf,238
507,details,236
508,whats,236
509,came,235
510,women,235
511,since,234
512,porto,234
513,sportswear,233
514,tshirt,233
515,runs,233
516,bio,233
517,stay,232
518,place,232
519,tuesday,230
520,softballtips,230
521,lot,230
522,cut,229
523,afternoon,229
524,thru,228
525,interview,228
526,move,228
527,twitter,227
528,song,225
529,boxing,225
530,fest,225
531,fighting,224
532,quality,224
533,athletics,224
534,scores,222
535,sportsden,221
536,main,221
537,followfriday,221
538,done,221
539,center,220
540,classic,220
541,racism,219
542,wednesday,219
543,anyone,219
544,yoga,219
545,soundcloud,218
546,elite,218
547,thing,218
548,pass,218
549,minnesota,218
550,host,218
551,indians,217
552,someone,217
553,fastpitch,217
554,results,216
555,theonlinefa,216
556,super,216
557,east,215
558,contest,215
559,chynaorg,214
560,guy,214
561,aprilzazlove,214
562,base,213
563,pitching,213
564,listen,213
565,bad,213
566,ill,213
567,record,212
568,month,212
569,class,210
570,important,210
571,manutd,210
572,road,209
573,wweraw,209
574,celebrate,209
575,ham,209
576,lead,208
577,didnt,208
578,tonights,208
579,wellness,207
580,apr,207
581,greatest,207
582,mlbnetwork,206
583,food,206
584,mat,206
585,recap,206
586,odds,205
587,career,205
588,hear,205
589,successful,205
590,goldenskate,204
591,went,204
592,stars,204
593,asbasoftball,204
594,girly,204
595,art,204
596,john,203
597,fitfam,203
598,prospect,203
599,session,202
