,0,1
0,said,486
1,que,354
2,april,279
3,one,272
4,also,264
5,two,245
6,last,238
7,der,237
8,first,233
9,new,228
10,die,224
11,years,193
12,year,179
13,team,176
14,three,173
15,time,171
16,les,164
17,los,156
18,und,153
19,game,151
20,monday,150
21,would,144
22,state,143
23,like,143
24,des,141
25,get,138
26,people,137
27,back,137
28,season,133
29,second,128
30,police,121
31,mail,117
32,news,112
33,top,110
34,edt,108
35,media,102
36,pour,101
37,league,101
38,school,101
39,red,99
40,series,99
41,sunday,98
42,made,98
43,high,95
44,may,94
45,star,93
46,right,93
47,got,93
48,take,91
49,left,91
50,day,91
51,week,91
52,fire,91
53,teams,90
54,man,89
55,qui,89
56,could,89
57,sports,87
58,told,86
59,found,85
60,para,85
61,yearold,83
62,way,83
63,daily,82
64,den,82
65,around,82
66,since,81
67,sur,81
68,mit,80
69,going,80
70,make,79
71,world,79
72,est,77
73,even,77
74,published,77
75,une,76
76,according,76
77,paris,76
78,york,76
79,associated,76
80,went,76
81,home,76
82,football,75
83,five,75
84,much,74
85,four,74
86,still,74
87,dem,73
88,face,73
89,win,73
90,das,73
91,games,73
92,dont,72
93,sept,72
94,con,72
95,comments,72
96,dolphins,71
97,notre,71
98,van,71
99,former,71
100,baseball,70
101,view,69
102,hes,69
103,black,69
104,never,69
105,another,68
106,well,68
107,court,68
108,ist,68
109,run,68
110,six,67
111,didnt,67
112,know,67
113,plus,67
114,play,66
115,email,66
116,par,66
117,love,66
118,next,65
119,thats,65
120,see,65
121,son,65
122,work,64
123,ago,64
124,every,63
125,came,63
126,best,62
127,dans,62
128,stone,62
129,took,62
130,newspapers,62
131,final,62
132,house,61
133,facebook,61
134,many,60
135,third,60
136,later,60
137,cbd,60
138,fans,60
139,set,59
140,una,59
141,players,59
142,del,59
143,por,58
144,shot,57
145,seen,57
146,family,57
147,please,57
148,look,56
149,think,56
150,updated,55
151,times,55
152,national,55
153,pas,55
154,really,55
155,including,55
156,started,54
157,auf,54
158,start,54
159,big,54
160,age,53
161,night,53
162,say,53
163,used,53
164,ltdpart,53
165,site,53
166,help,53
167,field,53
168,good,53
169,aus,53
170,metro,53
171,white,52
172,long,52
173,cowboys,51
174,city,51
175,following,51
176,las,51
177,place,51
178,united,50
179,report,50
180,johnny,50
181,lead,50
182,known,50
183,ein,50
184,led,49
185,sport,49
186,percent,49
187,hit,49
188,coach,49
189,lee,48
190,articleshare,48
191,states,48
192,nicht,48
193,social,48
194,life,48
195,something,48
196,avec,48
197,want,48
198,put,48
199,sich,48
200,miami,47
201,ele,47
202,friends,47
203,public,47
204,university,47
205,number,47
206,called,47
207,released,47
208,posted,46
209,sox,46
210,international,46
211,pictured,46
212,het,46
213,little,46
214,couple,46
215,notredame,46
216,women,46
217,cathedral,46
218,end,46
219,come,46
220,showed,45
221,woods,45
222,local,45
223,von,45
224,read,45
225,dame,45
226,photo,45
227,stories,45
228,use,45
229,round,44
230,together,44
231,per,44
232,looking,44
233,part,44
234,find,44
235,club,43
236,road,43
237,side,43
238,tlgramme,43
239,auch,43
240,away,43
241,great,43
242,eine,43
243,theyre,42
244,head,42
245,groupby,42
246,major,42
247,death,42
248,past,42
249,human,42
250,available,42
251,water,42
252,een,42
253,able,42
254,career,41
255,weeks,41
256,runs,41
257,plan,41
258,conference,41
259,community,41
260,million,41
261,better,40
262,ball,40
263,though,40
264,products,40
265,wentz,40
266,across,40
267,ever,40
268,victim,39
269,played,39
270,asked,39
271,arrested,39
272,point,39
273,war,39
274,area,39
275,katie,39
276,groups,39
277,lost,39
278,sie,38
279,nous,38
280,officials,38
281,children,38
282,met,38
283,journe,38
284,order,38
285,early,38
286,points,38
287,often,38
288,case,37
289,mais,37
290,include,37
291,looked,37
292,dailymailcom,37
293,match,37
294,cup,37
295,saturday,37
296,support,37
297,digital,37
298,relationship,37
299,believe,36
300,president,36
301,remain,36
302,content,36
303,lot,36
304,florida,36
305,conversation,36
306,central,36
307,months,35
308,whether,35
309,remains,35
310,policy,35
311,cest,35
312,name,35
313,making,35
314,twitter,35
315,nach,35
316,einen,35
317,enough,35
318,service,35
319,flames,35
320,goal,35
321,without,34
322,today,34
323,fifth,34
324,senior,34
325,small,34
326,gave,34
327,added,34
328,rules,34
329,crime,34
330,hits,34
331,says,34
332,january,34
333,fan,34
334,large,34
335,boston,34
336,link,34
337,received,33
338,less,33
339,given,33
340,medical,33
341,live,33
342,building,33
343,sont,33
344,several,33
345,texas,33
346,draft,33
347,research,33
348,route,33
349,college,33
350,attack,33
351,hat,33
352,based,32
353,bretagne,32
354,talk,32
355,super,32
356,video,32
357,award,32
358,late,32
359,department,32
360,announced,32
361,worked,32
362,usa,32
363,blue,32
364,chief,32
365,scored,32
366,innings,32
367,event,32
368,died,32
369,base,32
370,likely,32
371,wasnt,32
372,law,31
373,free,31
374,individuals,31
375,weekend,31
376,buy,31
377,period,31
378,need,31
379,give,31
380,change,31
381,call,31
382,theres,31
383,south,31
384,month,31
385,libre,31
386,things,31
387,comes,31
388,members,31
389,health,30
390,inning,30
391,north,30
392,front,30
393,contact,30
394,como,30
395,cant,30
396,important,30
397,revealed,30
398,seasons,30
399,mets,30
400,outside,29
401,identified,29
402,cette,29
403,trying,29
404,mailonline,29
405,near,29
406,among,29
407,old,29
408,already,29
409,als,29
410,island,29
411,saw,29
412,taking,29
413,pro,29
414,program,29
415,office,29
416,moment,29
417,company,29
418,data,29
419,drug,29
420,claims,29
421,group,29
422,row,29
423,kind,29
424,tweet,29
425,sent,29
426,began,29
427,western,28
428,print,28
429,nba,28
430,general,28
431,middle,28
432,via,28
433,tous,28
434,center,28
435,along,28
436,wwe,28
437,ewn,28
438,getting,28
439,victory,28
440,ryan,28
441,mark,28
442,country,28
443,playing,28
444,wanted,28
445,player,28
446,mensuel,28
447,hours,28
448,injuries,28
449,natural,27
450,recent,27
451,dass,27
452,nfl,27
453,online,27
454,discovered,27
455,instagram,27
456,neolithic,27
457,pitch,27
458,behind,27
459,hiring,27
460,kyle,27
461,forward,27
462,stars,27
463,france,27
464,programs,27
465,authorities,27
466,noted,27
467,london,27
468,score,27
469,using,27
470,diario,27
471,comme,27
472,fell,27
473,matthews,27
474,article,27
475,fda,27
476,potential,27
477,reporter,27
478,sale,26
479,county,26
480,range,26
481,line,26
482,champions,26
483,director,26
484,images,26
485,food,26
486,bottom,26
487,schools,26
488,continue,26
489,ligue,26
490,mlb,26
491,guidelines,26
492,far,26
493,science,26
494,became,26
495,press,26
496,shes,26
497,pulitzer,26
498,car,26
499,russian,26
500,chris,26
501,receive,26
502,smith,26
503,least,26
504,saison,26
505,europe,26
506,shooting,26
507,held,26
508,eagles,26
509,reported,26
510,church,25
511,manning,25
512,previous,25
513,charges,25
514,december,25
515,chance,25
516,ways,25
517,taken,25
518,information,25
519,contract,25
520,tried,25
521,single,25
522,toronto,25
523,business,25
524,evidence,25
525,loss,25
526,zijn,25
527,show,25
528,might,25
529,open,25
530,key,25
531,statement,25
532,partage,25
533,body,25
534,aber,25
535,rights,25
536,earned,25
537,air,25
538,doesnt,25
539,reporting,25
540,sex,25
541,golden,25
542,seven,25
543,days,24
544,christian,24
545,werden,24
546,recently,24
547,strong,24
548,access,24
549,longer,24
550,mis,24
551,terms,24
552,deal,24
553,address,24
554,john,24
555,saying,24
556,kansas,24
557,trip,24
558,bodies,24
559,google,24
560,species,24
561,bei,24
562,services,24
563,estava,24
564,prudhomme,24
565,discussion,24
566,noch,24
567,whose,24
568,child,24
569,foot,24
570,officer,24
571,system,24
572,named,24
573,caught,24
574,march,24
575,championship,24
576,helped,24
577,follow,23
578,main,23
579,ready,23
580,snap,23
581,charge,23
582,deux,23
583,anything,23
584,move,23
585,box,23
586,students,23
587,green,23
588,ber,23
589,ser,23
590,cathdrale,23
591,feed,23
592,american,23
593,feel,23
594,avait,23
595,grace,23
596,coming,23
597,dating,23
598,spot,23
599,michael,23
600,golf,23
601,east,23
602,squad,23
603,manager,23
604,playoffs,23
605,delivery,23
606,tout,23
607,reached,23
608,watch,23
609,morning,23
